﻿Group;Merchant;Login ID;Member ID;Date;Type;Pay Method;Currency;Amount;Fee;Ticket #;Status;Approval Remark
RP1M (G109);RP1M (161);Nurdin29;39707@161;04/01/2026 00:17;Deposit;QRIS IM;IDR;151;0;779699605;Approved;
RP1M (G109);RP1M (161);Nurdin29;39707@161;04/01/2026 00:34;Deposit;QRIS IM;IDR;100;0;779711719;Approved;
RP1M (G109);RP1M (161);Rehan999;26363@161;04/01/2026 00:40;Deposit;QRIS IM;IDR;300;0;779715594;Approved;
RP1M (G109);RP1M (161);Nurdin29;39707@161;04/01/2026 00:55;Deposit;QRIS IM;IDR;100;0;779726020;Approved;
RP1M (G109);RP1M (161);Deni251293;43165@161;04/01/2026 01:17;Deposit;QRIS IM;IDR;40;0;779741363;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/01/2026 02:19;Deposit;QRIS IM;IDR;500;0;779782947;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/01/2026 02:28;Deposit;QRIS IM;IDR;1000;0;779788356;Approved;
RP1M (G109);RP1M (161);miki888;17880@161;04/01/2026 02:57;Deposit;QRIS IM;IDR;9500;0;779805138;Approved;
RP1M (G109);RP1M (161);Kuaci123;37225@161;04/01/2026 03:28;Deposit;QRIS IM;IDR;100;0;779821224;Approved;
RP1M (G109);RP1M (161);Kuaci123;37225@161;04/01/2026 03:37;Deposit;QRIS IM;IDR;100;0;779825433;Approved;
RP1M (G109);RP1M (161);Kuaci123;37225@161;04/01/2026 04:06;Deposit;QRIS IM;IDR;100;0;779838355;Approved;
RP1M (G109);RP1M (161);miki888;17880@161;04/01/2026 07:06;Deposit;QRIS IM;IDR;6500;0;779890320;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/01/2026 10:09;Deposit;QRIS IM;IDR;1500;0;779929252;Approved;
RP1M (G109);RP1M (161);Maju;42806@161;04/01/2026 11:38;Deposit;QRIS IM;IDR;50;0;779955869;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/01/2026 11:48;Deposit;QRIS IM;IDR;2500;0;779959310;Approved;
RP1M (G109);RP1M (161);Maulana2000;42980@161;04/01/2026 11:57;Deposit;QRIS IM;IDR;25;0;779962257;Approved;
RP1M (G109);RP1M (161);miki888;17880@161;04/01/2026 12:46;Deposit;QRIS IM;IDR;3300;0;779979832;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 12:57;Deposit;QRIS IM;IDR;1000;0;779983852;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 14:13;Deposit;QRIS IM;IDR;500;0;780015662;Approved;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 14:51;Deposit;QRIS IM;IDR;150;0;780031726;Approved;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 14:58;Deposit;QRIS IM;IDR;100;0;780034949;Approved;
RP1M (G109);RP1M (161);Suhuslot99;25319@161;04/01/2026 15:29;Deposit;QRIS IM;IDR;29;0;780047744;Approved;
RP1M (G109);RP1M (161);Suhuslot99;25319@161;04/01/2026 15:38;Deposit;QRIS IM;IDR;50;0;780051634;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 15:44;Deposit;QRIS IM;IDR;1000;0;780054455;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 15:52;Deposit;QRIS IM;IDR;500;0;780058018;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 15:58;Deposit;QRIS IM;IDR;1000;0;780060687;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 16:02;Deposit;QRIS IM;IDR;500;0;780062481;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 16:09;Deposit;QRIS IM;IDR;330;0;780065173;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 16:10;Deposit;QRIS IM;IDR;400;0;780065893;Approved;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 16:33;Deposit;QRIS IM;IDR;200;0;780076339;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 17:21;Deposit;QRIS IM;IDR;500;0;780097942;Approved;
RP1M (G109);RP1M (161);abongjp;42574@161;04/01/2026 18:05;Deposit;QRIS IM;IDR;100;0;780118637;Approved;
RP1M (G109);RP1M (161);Deni251293;43165@161;04/01/2026 19:55;Deposit;QRIS IM;IDR;25;0;780173772;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 20:59;Deposit;QRIS IM;IDR;1000;0;780207049;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:26;Deposit;QRIS IM;IDR;400;0;780221764;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:30;Deposit;QRIS IM;IDR;500;0;780224019;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:33;Deposit;QRIS IM;IDR;500;0;780226099;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:36;Deposit;QRIS IM;IDR;600;0;780227903;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/01/2026 21:49;Deposit;QRIS IM;IDR;500;0;780234986;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 21:52;Deposit;QRIS IM;IDR;600;0;780236758;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/01/2026 22:06;Deposit;QRIS IM;IDR;410;0;780245612;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/01/2026 22:06;Deposit;QRIS IM;IDR;400;0;780245968;Approved;
RP1M (G109);RP1M (161);solo888;43166@161;04/01/2026 23:51;Deposit;QRIS IM;IDR;200;0;780316395;Approved;
RP1M (G109);RP1M (161);solo888;43166@161;04/01/2026 23:52;Deposit;QRIS IM;IDR;1800;0;780317134;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 00:00;Deposit;QRIS IM;IDR;1000;0;780322701;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 00:24;Deposit;QRIS IM;IDR;2500;0;780339670;Approved;
RP1M (G109);RP1M (161);Deni251293;43165@161;04/02/2026 01:10;Deposit;QRIS IM;IDR;25;0;780373794;Approved;
RP1M (G109);RP1M (161);Steven86;25220@161;04/02/2026 01:16;Deposit;QRIS IM;IDR;40;0;780377831;Approved;
RP1M (G109);RP1M (161);Deni251293;43165@161;04/02/2026 01:44;Deposit;QRIS IM;IDR;25;0;780397309;Approved;
RP1M (G109);RP1M (161);Deni251293;43165@161;04/02/2026 02:09;Deposit;QRIS IM;IDR;25;0;780414216;Approved;
RP1M (G109);RP1M (161);lindamy02;38400@161;04/02/2026 02:11;Deposit;QRIS IM;IDR;50;0;780415391;Approved;
RP1M (G109);RP1M (161);G4tok;42043@161;04/02/2026 02:24;Deposit;QRIS IM;IDR;30;0;780423901;Approved;
RP1M (G109);RP1M (161);Hoki10;35419@161;04/02/2026 02:30;Deposit;QRIS IM;IDR;200;0;780427762;Approved;
RP1M (G109);RP1M (161);Boyyu41;43015@161;04/02/2026 02:34;Deposit;QRIS IM;IDR;50;0;780430169;Approved;
RP1M (G109);RP1M (161);Boyyu41;43015@161;04/02/2026 02:42;Deposit;QRIS IM;IDR;100;0;780434938;Approved;
RP1M (G109);RP1M (161);Jhoker86;43062@161;04/02/2026 04:09;Deposit;QRIS IM;IDR;30;0;780479257;Approved;
RP1M (G109);RP1M (161);miki888;17880@161;04/02/2026 04:52;Deposit;QRIS IM;IDR;9500;0;780495850;Approved;
RP1M (G109);RP1M (161);ERIKSUDARTa;25225@161;04/02/2026 06:20;Deposit;QRIS IM;IDR;440;0;780520913;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/02/2026 07:33;Deposit;QRIS IM;IDR;500;0;780536222;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/02/2026 07:35;Deposit;QRIS IM;IDR;500;0;780536778;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/02/2026 07:39;Deposit;QRIS IM;IDR;1000;0;780537508;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/02/2026 07:45;Deposit;QRIS IM;IDR;1000;0;780538636;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/02/2026 07:46;Deposit;QRIS IM;IDR;1000;0;780538960;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/02/2026 07:50;Deposit;QRIS IM;IDR;1000;0;780539646;Approved;
RP1M (G109);RP1M (161);Boyyu41;43015@161;04/02/2026 08:19;Deposit;QRIS IM;IDR;70;0;780545955;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/02/2026 09:52;Deposit;QRIS IM;IDR;1000;0;780569118;Approved;
RP1M (G109);RP1M (161);Steven86;25220@161;04/02/2026 10:05;Deposit;QRIS IM;IDR;50;0;780572967;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 10:11;Deposit;QRIS IM;IDR;1000;0;780574728;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 10:22;Deposit;QRIS IM;IDR;2500;0;780577931;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 10:35;Deposit;QRIS IM;IDR;2500;0;780581847;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 10:50;Deposit;QRIS IM;IDR;3000;0;780586384;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 11:12;Deposit;QRIS IM;IDR;1500;0;780593294;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 11:17;Deposit;QRIS IM;IDR;2000;0;780594974;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/02/2026 11:27;Deposit;QRIS IM;IDR;1000;0;780598314;Approved;
RP1M (G109);RP1M (161);solo888;43166@161;04/02/2026 12:18;Deposit;QRIS IM;IDR;2000;0;780616050;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 12:28;Deposit;QRIS IM;IDR;3000;0;780619948;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/02/2026 12:36;Deposit;QRIS IM;IDR;3000;0;780622861;Approved;
RP1M (G109);RP1M (161);Hengki02;17222@161;04/02/2026 12:54;Deposit;QRIS IM;IDR;250;0;780629863;Approved;
RP1M (G109);RP1M (161);Hengki02;17222@161;04/02/2026 13:00;Deposit;QRIS IM;IDR;250;0;780631933;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/02/2026 13:05;Deposit;QRIS IM;IDR;500;0;780634052;Approved;
RP1M (G109);RP1M (161);miki888;17880@161;04/02/2026 13:07;Deposit;QRIS IM;IDR;9500;0;780634941;Approved;
RP1M (G109);RP1M (161);Suhuslot99;25319@161;04/02/2026 13:18;Deposit;QRIS IM;IDR;50;0;780639406;Approved;
RP1M (G109);RP1M (161);maxwin8888;42046@161;04/02/2026 13:53;Deposit;QRIS IM;IDR;60;0;780654125;Approved;
RP1M (G109);RP1M (161);maxwin8888;42046@161;04/02/2026 14:01;Deposit;QRIS IM;IDR;40;0;780657552;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/02/2026 14:32;Deposit;QRIS IM;IDR;1000;0;780670490;Approved;
RP1M (G109);RP1M (161);Cumicumi99;41074@161;04/02/2026 14:37;Deposit;QRIS IM;IDR;50;0;780672463;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/02/2026 15:34;Deposit;QRIS IM;IDR;500;0;780696342;Approved;
RP1M (G109);RP1M (161);Suhuslot99;25319@161;04/02/2026 16:38;Deposit;QRIS IM;IDR;50;0;780724284;Approved;
RP1M (G109);RP1M (161);Suhuslot99;25319@161;04/02/2026 16:41;Deposit;QRIS IM;IDR;50;0;780725719;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/02/2026 17:20;Deposit;QRIS IM;IDR;700;0;780742802;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 17:29;Deposit;QRIS IM;IDR;100;0;780746889;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 18:00;Deposit;QRIS IM;IDR;100;0;780760735;Approved;
RP1M (G109);RP1M (161);Nurfadilah;41137@161;04/02/2026 18:12;Deposit;QRIS IM;IDR;28;0;780766178;Approved;
RP1M (G109);RP1M (161);Bil1ay;29782@161;04/02/2026 18:22;Deposit;QRIS IM;IDR;195;0;780770907;Approved;
RP1M (G109);RP1M (161);Lucky7;43111@161;04/02/2026 18:22;Deposit;QRIS IM;IDR;600;0;780770922;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 18:24;Deposit;QRIS IM;IDR;75;0;780771600;Approved;
RP1M (G109);RP1M (161);Cumicumi99;41074@161;04/02/2026 18:50;Deposit;QRIS IM;IDR;100;0;780783452;Approved;
RP1M (G109);RP1M (161);Agung2002;42720@161;04/02/2026 20:19;Deposit;QRIS IM;IDR;37;0;780827225;Approved;
RP1M (G109);RP1M (161);maxwin8888;42046@161;04/02/2026 21:09;Deposit;QRIS IM;IDR;40;0;780853280;Approved;
RP1M (G109);RP1M (161);maxwin8888;42046@161;04/02/2026 21:17;Deposit;QRIS IM;IDR;40;0;780858027;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 21:23;Deposit;QRIS IM;IDR;95;0;780861196;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 22:04;Deposit;QRIS IM;IDR;100;0;780885040;Approved;
RP1M (G109);RP1M (161);Situsandalan;43168@161;04/02/2026 22:27;Deposit;QRIS IM;IDR;25;0;780898915;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 22:27;Deposit;QRIS IM;IDR;100;0;780898992;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 23:05;Deposit;QRIS IM;IDR;100;0;780924154;Approved;
RP1M (G109);RP1M (161);ERIKSUDARTa;25225@161;04/02/2026 23:12;Deposit;QRIS IM;IDR;250;0;780928682;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/02/2026 23:22;Deposit;QRIS IM;IDR;100;0;780935982;Approved;
RP1M (G109);RP1M (161);SinzerGear;34975@161;04/03/2026 00:08;Deposit;QRIS IM;IDR;95;0;780968274;Approved;
RP1M (G109);RP1M (161);Irwan1708;41962@161;04/03/2026 00:13;Deposit;QRIS IM;IDR;100;0;780972176;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 01:31;Deposit;QRIS IM;IDR;500;0;781028644;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 04:11;Deposit;QRIS IM;IDR;350;0;781122967;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 04:16;Deposit;QRIS IM;IDR;500;0;781125114;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 04:18;Deposit;QRIS IM;IDR;1000;0;781126061;Approved;
RP1M (G109);RP1M (161);malikadel;43154@161;04/03/2026 05:09;Deposit;QRIS IM;IDR;100;0;781145489;Approved;
RP1M (G109);RP1M (161);miki888;17880@161;04/03/2026 05:53;Deposit;QRIS IM;IDR;9500;0;781159280;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 08:20;Deposit;QRIS IM;IDR;500;0;781190462;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 08:35;Deposit;QRIS IM;IDR;500;0;781193600;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 08:45;Deposit;QRIS IM;IDR;500;0;781195626;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 08:47;Deposit;QRIS IM;IDR;500;0;781196072;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 08:49;Deposit;QRIS IM;IDR;1000;0;781196458;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 08:52;Deposit;QRIS IM;IDR;1000;0;781197098;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 09:00;Deposit;QRIS IM;IDR;500;0;781198746;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 09:02;Deposit;QRIS IM;IDR;500;0;781199087;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 09:54;Deposit;QRIS IM;IDR;500;0;781211050;Approved;
RP1M (G109);RP1M (161);Yuki27;42930@161;04/03/2026 10:01;Deposit;QRIS IM;IDR;500;0;781212988;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 11:23;Deposit;QRIS IM;IDR;500;0;781235970;Approved;
RP1M (G109);RP1M (161);Lucy1234;41996@161;04/03/2026 11:36;Deposit;QRIS IM;IDR;300;0;781240257;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 11:43;Deposit;QRIS IM;IDR;1500;0;781242504;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 12:00;Deposit;QRIS IM;IDR;2000;0;781248123;Approved;
RP1M (G109);RP1M (161);Maju;42806@161;04/03/2026 12:16;Deposit;QRIS IM;IDR;50;0;781253798;Approved;
RP1M (G109);RP1M (161);miki888;17880@161;04/03/2026 12:52;Deposit;QRIS IM;IDR;9500;0;781267019;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 13:01;Deposit;QRIS IM;IDR;2000;0;781270435;Approved;
RP1M (G109);RP1M (161);jataintan;19067@161;04/03/2026 13:11;Deposit;QRIS IM;IDR;1000;0;781274713;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 13:23;Deposit;QRIS IM;IDR;2500;0;781279212;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 13:29;Deposit;QRIS IM;IDR;1500;0;781281745;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 13:44;Deposit;QRIS IM;IDR;1200;0;781287861;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 15:49;Deposit;QRIS IM;IDR;1400;0;781337376;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 15:58;Deposit;QRIS IM;IDR;2000;0;781341076;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 16:05;Deposit;QRIS IM;IDR;2500;0;781343793;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 16:13;Deposit;QRIS IM;IDR;1500;0;781347280;Approved;
RP1M (G109);RP1M (161);Maju;42806@161;04/03/2026 16:28;Deposit;QRIS IM;IDR;50;0;781353486;Approved;
RP1M (G109);RP1M (161);Sarok123;38093@161;04/03/2026 16:33;Deposit;QRIS IM;IDR;99;0;781355407;Approved;
RP1M (G109);RP1M (161);Skybye23;24693@161;04/03/2026 16:48;Deposit;QRIS IM;IDR;300;0;781361503;Approved;
RP1M (G109);RP1M (161);Sarok123;38093@161;04/03/2026 17:11;Deposit;QRIS IM;IDR;99;0;781371254;Approved;
RP1M (G109);RP1M (161);Bolenk01;42435@161;04/03/2026 17:16;Deposit;QRIS IM;IDR;145;0;781373041;Approved;
RP1M (G109);RP1M (161);Sarok123;38093@161;04/03/2026 17:16;Deposit;QRIS IM;IDR;99;0;781373390;Approved;
RP1M (G109);RP1M (161);Cumicumi99;41074@161;04/03/2026 17:59;Deposit;QRIS IM;IDR;100;0;781391437;Approved;
RP1M (G109);RP1M (161);Nurfadilah;41137@161;04/03/2026 19:28;Deposit;QRIS IM;IDR;50;0;781429987;Approved;
RP1M (G109);RP1M (161);Nurfadilah;41137@161;04/03/2026 19:47;Deposit;QRIS IM;IDR;50;0;781438902;Approved;
